epoch,train_success,test_success
0,0.8631178707224335,0.875
1,0.9027237354085603,0.9108527131782945
2,0.9098039215686274,0.9274809160305344
3,0.921875,0.9404761904761905
4,0.9263565891472868,0.9649805447470817
5,0.9453125,0.9429657794676806
6,0.966789667896679,0.953307392996109
7,0.9660377358490566,0.9728682170542635
8,0.9769230769230769,0.9765625
9,0.9725490196078431,0.9561752988047809
10,0.972972972972973,0.9724409448818898
11,0.9653846153846154,0.9695817490494296
12,0.9770114942528736,0.9613899613899614
13,0.9682539682539683,0.9808429118773946
14,0.9731800766283525,0.980544747081712
15,0.9775280898876404,0.9660377358490566
16,0.9883720930232558,0.9768339768339769
17,0.9724409448818898,0.9728682170542635
18,0.9566929133858267,0.9737827715355806
19,0.9766536964980544,0.9850187265917603
20,0.980544747081712,0.9762845849802372
21,0.981203007518797,0.9681274900398407
22,0.976,0.9768339768339769
23,0.9641434262948207,0.9682539682539683
24,0.9682539682539683,0.9727626459143969
25,0.9769230769230769,0.9725490196078431
26,0.9771863117870723,0.969811320754717
27,0.9773584905660377,0.9803921568627451
28,0.9847328244274809,0.9694656488549618
29,0.9806201550387597,0.9845559845559846
30,0.9886792452830189,0.9803921568627451
31,0.9844961240310077,0.9762845849802372
32,0.9806201550387597,0.9727626459143969
33,0.9847328244274809,0.9848484848484849
34,0.9883268482490273,0.9884169884169884
35,0.9884169884169884,0.9845559845559846
36,0.98046875,0.984
37,0.9762845849802372,0.9770992366412213
38,0.9844357976653697,0.9844961240310077
39,0.9779411764705882,0.9919678714859438
40,0.9766536964980544,0.9762845849802372
41,0.9847328244274809,0.9693486590038314
42,0.9881889763779528,0.9920318725099602
43,0.9961089494163424,0.9884615384615385
44,0.972972972972973,0.9808429118773946
45,0.9883268482490273,0.9809885931558935
46,0.9847328244274809,0.99609375
47,0.9960629921259843,0.9922178988326849
48,0.9847328244274809,0.9885496183206107
49,0.9847328244274809,0.9725490196078431
