epoch,train_success,test_success
0,0.6552901023890785,0.6564625850340136
1,0.7432432432432432,0.75
2,0.6097560975609756,0.6271186440677966
3,0.7721088435374149,0.7391304347826086
4,0.793918918918919,0.793918918918919
5,0.7986348122866894,0.7837837837837838
6,0.7859649122807018,0.8129251700680272
7,0.7925170068027211,0.7842465753424658
8,0.7785467128027682,0.7815699658703071
9,0.7773972602739726,0.8067796610169492
10,0.8114478114478114,0.8159722222222222
11,0.7876712328767124,0.777027027027027
12,0.8456375838926175,0.8605442176870748
13,0.7430555555555556,0.7372013651877133
14,0.8159722222222222,0.8551724137931035
15,0.8556701030927835,0.8235294117647058
16,0.8430034129692833,0.8106312292358804
17,0.7559322033898305,0.7559322033898305
18,0.8430034129692833,0.847972972972973
19,0.8200692041522492,0.8133333333333334
20,0.847972972972973,0.777027027027027
21,0.7857142857142857,0.7929824561403509
22,0.8241379310344827,0.7945205479452054
23,0.8271186440677966,0.8241379310344827
24,0.7162629757785467,0.7315436241610739
25,0.75,0.7878787878787878
26,0.7845117845117845,0.8231292517006803
27,0.8040540540540541,0.8384879725085911
28,0.8551724137931035,0.8451178451178452
29,0.8184931506849316,0.8379310344827586
30,0.839041095890411,0.847972972972973
31,0.7796610169491526,0.8082191780821918
32,0.8013698630136986,0.8129251700680272
33,0.8062283737024222,0.8197278911564626
34,0.8013698630136986,0.8442906574394463
35,0.8053691275167785,0.8287671232876712
36,0.8657718120805369,0.8361774744027304
37,0.8604651162790697,0.9010238907849829
38,0.8435374149659864,0.821917808219178
39,0.8361774744027304,0.8745762711864407
40,0.8163265306122449,0.7789115646258503
41,0.8835616438356164,0.8839590443686007
42,0.863481228668942,0.8666666666666667
43,0.8703071672354948,0.8707482993197279
44,0.8482758620689655,0.8662207357859532
45,0.8013698630136986,0.8
46,0.8538205980066446,0.9100346020761245
47,0.8513513513513513,0.8131487889273357
48,0.8181818181818182,0.8055555555555556
49,0.7758620689655172,0.7785234899328859
