epoch,train_success,test_success
0,0.7854406130268199,0.7857142857142857
1,0.8716981132075472,0.8599221789883269
2,0.9053030303030303,0.89272030651341
3,0.9053030303030303,0.9140625
4,0.9090909090909091,0.908745247148289
5,0.9315589353612167,0.915057915057915
6,0.94140625,0.9400749063670412
7,0.9320754716981132,0.937037037037037
8,0.9320754716981132,0.9118773946360154
9,0.9114391143911439,0.9122137404580153
10,0.96,0.939622641509434
11,0.9277566539923955,0.8888888888888888
12,0.9192307692307692,0.929368029739777
13,0.9490196078431372,0.9584905660377359
14,0.9538461538461539,0.9662921348314607
15,0.9808429118773946,0.9507575757575758
16,0.9407407407407408,0.9425287356321839
17,0.9207547169811321,0.946969696969697
18,0.9501915708812261,0.9442379182156134
19,0.9312977099236641,0.933579335793358
20,0.947565543071161,0.9616858237547893
21,0.9471698113207547,0.9431818181818182
22,0.9621212121212122,0.9583333333333334
23,0.9360902255639098,0.9573643410852714
24,0.9538461538461539,0.9429657794676806
25,0.9849056603773585,0.9505703422053232
26,0.9618320610687023,0.9616858237547893
27,0.9584905660377359,0.9846743295019157
28,0.9688715953307393,0.9540229885057471
29,0.9625468164794008,0.9586466165413534
30,0.981203007518797,0.9847908745247148
31,0.9576923076923077,0.9612403100775194
32,0.9724409448818898,0.9696969696969697
33,0.9699248120300752,0.9844357976653697
34,0.9692307692307692,0.9734848484848485
35,0.9615384615384616,0.9806949806949807
36,0.9621212121212122,0.9461538461538461
37,0.9553903345724907,0.9616858237547893
38,0.9649805447470817,0.9536679536679536
39,0.9343629343629344,0.9440298507462687
40,0.9581749049429658,0.9573643410852714
41,0.9239543726235742,0.9465648854961832
42,0.9619771863117871,0.9628252788104089
43,0.974169741697417,0.9727626459143969
44,0.9702602230483272,0.9701492537313433
45,0.9653846153846154,0.9704797047970479
46,0.9699248120300752,0.9625468164794008
47,0.969811320754717,0.966542750929368
48,0.9808429118773946,0.9618320610687023
49,0.9628252788104089,0.9629629629629629
